date,incident_type,severity,status,description,reported_by
2023-12-17,Bruteforce Attack,High,Resolved,Bruteforce Attack incident detected.,system
2024-10-22,Bruteforce Attack,Medium,Closed,Unauthorized Access incident detected.,bob
2024-11-24,Malware,Medium,Open,SQL Injection incident detected.,system
2024-01-13,Malware,High,Closed,Ransomware incident detected.,security_team
2023-06-12,Bruteforce Attack,Medium,Open,Malware incident detected.,charlie
2024-08-20,Malware,Critical,Closed,SQL Injection incident detected.,admin
2024-03-02,Bruteforce Attack,High,Investigating,Malware incident detected.,security_team
2024-05-01,Malware,Low,Investigating,Phishing incident detected.,system
2023-07-30,Data Leak,Medium,Investigating,Ransomware incident detected.,charlie
2024-11-08,Malware,Critical,Open,Ransomware incident detected.,charlie
2023-11-10,DDoS,High,Resolved,SQL Injection incident detected.,security_team
2023-04-05,Ransomware,Medium,Resolved,Malware incident detected.,alice
2024-03-17,DDoS,High,Resolved,Data Leak incident detected.,admin
2023-04-27,Ransomware,Low,Resolved,Phishing incident detected.,bob
2023-11-02,Bruteforce Attack,Critical,Closed,Malware incident detected.,bob
2023-06-11,Ransomware,Critical,Resolved,DDoS incident detected.,alice
2023-12-03,Phishing,High,Investigating,SQL Injection incident detected.,alice
2024-08-30,Malware,Medium,Resolved,SQL Injection incident detected.,system
2023-05-05,Malware,Low,Closed,Unauthorized Access incident detected.,alice
2024-07-13,DDoS,High,Investigating,Phishing incident detected.,bob
2024-06-10,SQL Injection,Critical,Investigating,Phishing incident detected.,admin
2023-08-22,Unauthorized Access,High,Closed,Bruteforce Attack incident detected.,alice
2023-08-13,Data Leak,Critical,Resolved,Phishing incident detected.,system
2023-06-09,Malware,Medium,Closed,SQL Injection incident detected.,alice
2024-11-05,SQL Injection,Critical,Open,Malware incident detected.,charlie
2023-10-26,SQL Injection,Medium,Closed,Data Leak incident detected.,security_team
2024-01-02,Ransomware,Critical,Open,Data Leak incident detected.,security_team
2024-11-05,Unauthorized Access,Low,Closed,Bruteforce Attack incident detected.,admin
2024-03-10,DDoS,High,Closed,Ransomware incident detected.,admin
2024-03-19,DDoS,Medium,Closed,Data Leak incident detected.,alice
2024-04-24,Malware,Medium,Open,Data Leak incident detected.,security_team
2023-03-23,Malware,Critical,Investigating,SQL Injection incident detected.,admin
2024-04-04,DDoS,High,Open,Bruteforce Attack incident detected.,alice
2023-12-31,DDoS,High,Open,Phishing incident detected.,admin
2023-02-02,Phishing,Medium,Open,Unauthorized Access incident detected.,bob
2023-05-29,DDoS,Medium,Investigating,Phishing incident detected.,charlie
2023-07-04,Malware,Low,Resolved,Ransomware incident detected.,charlie
2024-07-11,Malware,Medium,Resolved,SQL Injection incident detected.,security_team
2023-11-08,Phishing,Critical,Investigating,Phishing incident detected.,bob
2023-12-13,SQL Injection,Low,Investigating,Unauthorized Access incident detected.,alice
2024-07-05,DDoS,Low,Closed,DDoS incident detected.,charlie
2023-08-14,Bruteforce Attack,Critical,Open,Unauthorized Access incident detected.,charlie
2023-04-07,Phishing,Low,Resolved,DDoS incident detected.,alice
2023-03-04,Unauthorized Access,Low,Open,Unauthorized Access incident detected.,alice
2023-12-04,Ransomware,Critical,Resolved,Phishing incident detected.,alice
2023-12-21,Ransomware,Medium,Resolved,Unauthorized Access incident detected.,security_team
2024-08-24,DDoS,High,Resolved,SQL Injection incident detected.,security_team
2023-05-13,SQL Injection,Low,Closed,Unauthorized Access incident detected.,system
2024-05-06,Phishing,Critical,Resolved,DDoS incident detected.,security_team
2023-09-08,Phishing,Critical,Closed,Unauthorized Access incident detected.,alice
2024-01-16,Malware,Critical,Closed,Malware incident detected.,alice
2023-03-26,Data Leak,Critical,Investigating,Bruteforce Attack incident detected.,charlie
2024-03-25,DDoS,High,Closed,DDoS incident detected.,security_team
2023-06-30,Unauthorized Access,Critical,Resolved,Malware incident detected.,charlie
2023-01-11,Ransomware,Low,Resolved,SQL Injection incident detected.,admin
2024-02-18,DDoS,Low,Investigating,Malware incident detected.,security_team
2024-06-24,Data Leak,Low,Closed,Data Leak incident detected.,alice
2024-11-24,SQL Injection,Low,Open,SQL Injection incident detected.,admin
2024-01-07,Data Leak,Medium,Closed,Bruteforce Attack incident detected.,alice
2023-01-09,Bruteforce Attack,Medium,Closed,Bruteforce Attack incident detected.,alice
2024-01-19,Unauthorized Access,Low,Resolved,Bruteforce Attack incident detected.,admin
2023-02-03,Phishing,High,Open,DDoS incident detected.,system
2023-10-05,Bruteforce Attack,Medium,Closed,Unauthorized Access incident detected.,alice
2024-08-27,DDoS,Medium,Investigating,Malware incident detected.,system
2023-12-27,Phishing,High,Open,Unauthorized Access incident detected.,system
2024-10-14,SQL Injection,Low,Open,DDoS incident detected.,security_team
2023-06-15,Phishing,Low,Closed,Unauthorized Access incident detected.,bob
2024-08-02,SQL Injection,Low,Investigating,Unauthorized Access incident detected.,bob
2024-03-10,Data Leak,Critical,Investigating,Bruteforce Attack incident detected.,alice
2023-03-31,SQL Injection,Low,Resolved,Phishing incident detected.,system
2024-07-30,Bruteforce Attack,Low,Closed,Ransomware incident detected.,charlie
2024-11-01,SQL Injection,Medium,Closed,SQL Injection incident detected.,alice
2023-11-05,DDoS,Medium,Resolved,Data Leak incident detected.,admin
2023-01-15,Ransomware,Low,Closed,Unauthorized Access incident detected.,admin
2023-09-09,DDoS,Medium,Open,SQL Injection incident detected.,alice
2023-12-31,Unauthorized Access,Critical,Closed,Unauthorized Access incident detected.,security_team
2023-12-26,Phishing,Low,Open,DDoS incident detected.,charlie
2024-04-21,Unauthorized Access,Medium,Resolved,Malware incident detected.,bob
2023-08-05,Phishing,High,Resolved,Data Leak incident detected.,bob
2023-01-01,SQL Injection,Medium,Investigating,DDoS incident detected.,security_team
2024-11-26,Bruteforce Attack,High,Investigating,Bruteforce Attack incident detected.,admin
2023-04-24,Malware,Critical,Resolved,Unauthorized Access incident detected.,admin
2023-05-23,Malware,Critical,Closed,DDoS incident detected.,alice
2024-10-15,DDoS,Low,Open,DDoS incident detected.,security_team
2024-06-12,Data Leak,Medium,Investigating,Bruteforce Attack incident detected.,alice
2024-04-13,Unauthorized Access,High,Resolved,Bruteforce Attack incident detected.,alice
2024-12-01,Data Leak,High,Investigating,Unauthorized Access incident detected.,system
2023-07-31,Bruteforce Attack,Medium,Investigating,Malware incident detected.,system
2024-01-27,Data Leak,Low,Closed,Ransomware incident detected.,admin
2023-11-29,Ransomware,Medium,Resolved,Phishing incident detected.,system
2024-02-18,DDoS,High,Closed,Ransomware incident detected.,admin
2023-12-08,SQL Injection,High,Resolved,DDoS incident detected.,alice
2023-11-20,Bruteforce Attack,Medium,Investigating,DDoS incident detected.,system
2024-05-31,SQL Injection,Medium,Resolved,Ransomware incident detected.,security_team
2023-07-13,Ransomware,Medium,Open,SQL Injection incident detected.,alice
2024-04-07,DDoS,Critical,Closed,SQL Injection incident detected.,bob
2024-05-07,DDoS,Low,Open,SQL Injection incident detected.,bob
2024-07-04,Phishing,Medium,Closed,Bruteforce Attack incident detected.,system
2024-06-10,Data Leak,Critical,Closed,Unauthorized Access incident detected.,alice
2023-01-28,Ransomware,Medium,Investigating,SQL Injection incident detected.,system
2024-09-20,Data Leak,High,Investigating,Phishing incident detected.,alice
2024-04-13,Unauthorized Access,Medium,Resolved,Malware incident detected.,alice
2023-02-13,Unauthorized Access,Low,Resolved,Bruteforce Attack incident detected.,charlie
2023-10-17,Data Leak,Low,Investigating,Phishing incident detected.,security_team
2023-01-01,Phishing,Low,Open,Data Leak incident detected.,admin
2024-03-06,Unauthorized Access,Critical,Closed,Bruteforce Attack incident detected.,admin
2023-03-05,Data Leak,Low,Closed,Ransomware incident detected.,admin
2024-07-18,DDoS,Medium,Closed,Malware incident detected.,alice
2023-03-27,Unauthorized Access,Low,Open,DDoS incident detected.,admin
2023-09-09,Unauthorized Access,High,Investigating,Bruteforce Attack incident detected.,admin
2023-09-10,DDoS,Medium,Resolved,SQL Injection incident detected.,admin
2023-08-26,Phishing,High,Closed,SQL Injection incident detected.,admin
2024-10-25,Phishing,High,Closed,Unauthorized Access incident detected.,alice
2024-06-21,Bruteforce Attack,Critical,Investigating,Unauthorized Access incident detected.,charlie
2024-07-09,Phishing,Low,Closed,Ransomware incident detected.,system
2023-12-11,SQL Injection,Critical,Investigating,Malware incident detected.,alice
2024-05-15,Malware,Critical,Closed,SQL Injection incident detected.,bob
2023-03-01,DDoS,Medium,Closed,Phishing incident detected.,admin
2023-04-29,Malware,High,Resolved,Bruteforce Attack incident detected.,bob
2023-08-03,Bruteforce Attack,Medium,Closed,Malware incident detected.,admin
2024-08-06,Ransomware,High,Closed,SQL Injection incident detected.,charlie
2024-01-08,SQL Injection,Medium,Resolved,Bruteforce Attack incident detected.,charlie
2023-08-30,Unauthorized Access,Critical,Investigating,SQL Injection incident detected.,bob
2024-05-24,Bruteforce Attack,Critical,Resolved,Malware incident detected.,system
2023-06-17,Phishing,Medium,Closed,Malware incident detected.,bob
2024-02-10,Bruteforce Attack,Medium,Resolved,Malware incident detected.,system
2023-12-30,SQL Injection,Medium,Investigating,Bruteforce Attack incident detected.,admin
2024-04-29,DDoS,Medium,Resolved,Bruteforce Attack incident detected.,charlie
2023-05-20,Data Leak,Critical,Open,DDoS incident detected.,alice
2023-08-15,Phishing,Low,Closed,Unauthorized Access incident detected.,bob
2023-04-28,Phishing,Low,Closed,Malware incident detected.,security_team
2023-09-20,Data Leak,High,Investigating,DDoS incident detected.,bob
2024-11-29,Bruteforce Attack,Critical,Closed,Data Leak incident detected.,alice
2024-04-20,Ransomware,High,Investigating,Ransomware incident detected.,charlie
2023-07-16,Unauthorized Access,Medium,Closed,Unauthorized Access incident detected.,system
2024-07-17,Ransomware,Critical,Investigating,SQL Injection incident detected.,system
2023-02-25,Data Leak,High,Investigating,Phishing incident detected.,alice
2023-05-10,Malware,Critical,Closed,Data Leak incident detected.,charlie
2024-10-04,DDoS,Medium,Open,DDoS incident detected.,security_team
2024-04-10,SQL Injection,High,Investigating,Ransomware incident detected.,admin
2023-12-26,Ransomware,High,Resolved,Data Leak incident detected.,bob
2024-07-26,Bruteforce Attack,Critical,Resolved,Phishing incident detected.,alice
2023-04-25,Ransomware,High,Resolved,Data Leak incident detected.,system
2024-07-31,Data Leak,Medium,Investigating,Data Leak incident detected.,charlie
2023-03-03,Data Leak,Medium,Resolved,Bruteforce Attack incident detected.,alice
2024-11-04,Unauthorized Access,Critical,Open,Bruteforce Attack incident detected.,bob
2024-06-25,SQL Injection,Low,Closed,Ransomware incident detected.,security_team
2023-07-23,SQL Injection,Low,Closed,Ransomware incident detected.,charlie
2024-04-10,Ransomware,Critical,Resolved,DDoS incident detected.,admin
2023-03-05,Phishing,High,Closed,Ransomware incident detected.,security_team
2024-03-21,Ransomware,High,Resolved,Phishing incident detected.,charlie
2024-10-27,Malware,Low,Investigating,Bruteforce Attack incident detected.,system
2023-06-26,DDoS,Critical,Investigating,SQL Injection incident detected.,alice
2023-10-09,Unauthorized Access,Medium,Investigating,Malware incident detected.,admin
2023-03-04,SQL Injection,Low,Open,Data Leak incident detected.,alice
2024-04-27,SQL Injection,High,Resolved,Phishing incident detected.,system
2024-09-05,SQL Injection,Low,Investigating,Unauthorized Access incident detected.,security_team
2023-05-21,Bruteforce Attack,Low,Investigating,Bruteforce Attack incident detected.,alice
2023-04-06,Bruteforce Attack,Critical,Closed,SQL Injection incident detected.,system
2023-02-07,Data Leak,Low,Investigating,Bruteforce Attack incident detected.,admin
2024-10-17,Phishing,High,Closed,Bruteforce Attack incident detected.,alice
2024-05-16,SQL Injection,High,Investigating,DDoS incident detected.,charlie
2023-10-25,Data Leak,Low,Closed,Bruteforce Attack incident detected.,admin
2023-04-22,SQL Injection,Critical,Closed,Unauthorized Access incident detected.,charlie
2023-04-12,DDoS,High,Closed,Phishing incident detected.,bob
2023-02-19,DDoS,High,Open,Data Leak incident detected.,alice
2023-02-13,Data Leak,Critical,Closed,Unauthorized Access incident detected.,bob
2023-03-14,Unauthorized Access,Medium,Resolved,Ransomware incident detected.,security_team
2023-04-25,Data Leak,Medium,Investigating,Malware incident detected.,charlie
2024-03-09,Data Leak,Critical,Investigating,Data Leak incident detected.,alice
2023-11-01,Ransomware,Medium,Investigating,SQL Injection incident detected.,bob
2023-08-10,Ransomware,Critical,Investigating,Ransomware incident detected.,bob
2024-06-09,SQL Injection,Low,Open,Unauthorized Access incident detected.,bob
2023-10-03,Data Leak,Critical,Resolved,Malware incident detected.,security_team
2024-10-31,Malware,Medium,Investigating,DDoS incident detected.,admin
2023-03-19,Ransomware,High,Open,Data Leak incident detected.,alice
2024-08-27,Bruteforce Attack,Low,Resolved,Phishing incident detected.,system
2023-10-06,SQL Injection,Critical,Resolved,Data Leak incident detected.,admin
2024-04-18,Phishing,Critical,Closed,DDoS incident detected.,security_team
2023-01-18,DDoS,Medium,Closed,DDoS incident detected.,charlie
2024-10-26,Bruteforce Attack,Medium,Open,Malware incident detected.,security_team
2024-09-02,Bruteforce Attack,Medium,Investigating,DDoS incident detected.,security_team
2024-06-08,Data Leak,Low,Open,Data Leak incident detected.,charlie
2023-03-13,DDoS,High,Resolved,DDoS incident detected.,admin
2023-07-28,SQL Injection,Medium,Investigating,SQL Injection incident detected.,admin
2024-05-04,DDoS,Low,Open,Malware incident detected.,alice
2024-10-20,Ransomware,Medium,Closed,Bruteforce Attack incident detected.,bob
2023-03-20,Data Leak,Medium,Investigating,Unauthorized Access incident detected.,security_team
2023-06-12,Unauthorized Access,Critical,Closed,DDoS incident detected.,system
2023-05-15,Bruteforce Attack,High,Investigating,Unauthorized Access incident detected.,alice
2024-03-11,DDoS,Medium,Open,Unauthorized Access incident detected.,security_team
2024-03-23,DDoS,High,Investigating,Bruteforce Attack incident detected.,system
2024-06-27,Ransomware,High,Investigating,Malware incident detected.,alice
2024-05-17,DDoS,Low,Open,Phishing incident detected.,system
2024-03-22,SQL Injection,High,Closed,SQL Injection incident detected.,bob
2024-04-30,DDoS,Critical,Open,Malware incident detected.,system
2024-03-04,Phishing,Critical,Closed,Unauthorized Access incident detected.,bob
2024-06-26,Bruteforce Attack,Critical,Investigating,Data Leak incident detected.,security_team
2023-01-12,Ransomware,Low,Investigating,Ransomware incident detected.,security_team
2024-02-08,Unauthorized Access,Medium,Open,Unauthorized Access incident detected.,system
2024-11-17,Bruteforce Attack,Medium,Resolved,Phishing incident detected.,security_team
2024-10-24,Phishing,High,Closed,Unauthorized Access incident detected.,charlie
2024-11-15,Data Leak,High,Closed,Phishing incident detected.,alice
2024-08-27,Phishing,High,Resolved,Data Leak incident detected.,alice
2024-08-20,Malware,High,Closed,Bruteforce Attack incident detected.,admin
2024-11-07,Unauthorized Access,High,Investigating,Ransomware incident detected.,admin
2024-02-03,Unauthorized Access,Critical,Closed,SQL Injection incident detected.,admin
2023-08-30,DDoS,Critical,Resolved,Unauthorized Access incident detected.,admin
2024-06-08,Phishing,Low,Open,Ransomware incident detected.,alice
2023-12-19,Malware,Low,Open,DDoS incident detected.,security_team
2023-05-20,Bruteforce Attack,Low,Closed,Ransomware incident detected.,system
2023-05-01,Malware,Low,Closed,Phishing incident detected.,charlie
2024-01-29,Unauthorized Access,Low,Investigating,Unauthorized Access incident detected.,admin
2024-09-21,Malware,Medium,Investigating,Malware incident detected.,charlie
2023-07-29,Unauthorized Access,Medium,Investigating,Data Leak incident detected.,system
2024-03-15,Unauthorized Access,High,Open,Phishing incident detected.,bob
2023-12-25,Unauthorized Access,High,Open,Malware incident detected.,alice
2023-04-19,SQL Injection,Low,Closed,Phishing incident detected.,bob
2024-01-23,Bruteforce Attack,Low,Open,Phishing incident detected.,charlie
2024-04-07,Bruteforce Attack,High,Investigating,SQL Injection incident detected.,charlie
2024-06-28,SQL Injection,Critical,Open,Unauthorized Access incident detected.,security_team
2024-09-15,Unauthorized Access,Low,Closed,DDoS incident detected.,bob
2024-03-22,DDoS,Critical,Closed,DDoS incident detected.,bob
2023-11-18,Unauthorized Access,Low,Investigating,Phishing incident detected.,admin
2023-08-31,Ransomware,Critical,Investigating,Phishing incident detected.,alice
2023-12-30,Data Leak,Critical,Resolved,Ransomware incident detected.,admin
2023-08-28,Ransomware,Medium,Open,Unauthorized Access incident detected.,charlie
2023-05-26,Ransomware,Critical,Resolved,Unauthorized Access incident detected.,charlie
2024-10-31,Ransomware,Critical,Investigating,Malware incident detected.,charlie
2024-07-28,Unauthorized Access,High,Investigating,Phishing incident detected.,system
2024-04-16,Malware,High,Resolved,Data Leak incident detected.,alice
2024-08-08,DDoS,Critical,Open,DDoS incident detected.,admin
2023-06-06,Data Leak,High,Resolved,Phishing incident detected.,system
2024-04-02,Malware,Critical,Investigating,Phishing incident detected.,security_team
2023-07-30,Phishing,Medium,Closed,Bruteforce Attack incident detected.,alice
2024-05-16,Bruteforce Attack,High,Closed,Phishing incident detected.,alice
2023-09-01,Bruteforce Attack,Critical,Resolved,Malware incident detected.,bob
2024-09-19,Malware,High,Resolved,SQL Injection incident detected.,alice
2023-06-25,SQL Injection,High,Closed,SQL Injection incident detected.,alice
2023-10-28,Bruteforce Attack,Critical,Open,SQL Injection incident detected.,bob
2024-11-06,Ransomware,Critical,Closed,SQL Injection incident detected.,bob
2023-03-10,Unauthorized Access,Medium,Investigating,Phishing incident detected.,alice
2024-09-24,Phishing,Critical,Resolved,Data Leak incident detected.,bob
2023-06-02,SQL Injection,Medium,Investigating,Bruteforce Attack incident detected.,charlie
2024-06-06,Malware,High,Investigating,DDoS incident detected.,system
2023-01-10,Bruteforce Attack,Critical,Resolved,Bruteforce Attack incident detected.,charlie
2024-08-10,DDoS,Critical,Closed,SQL Injection incident detected.,alice
2024-06-18,DDoS,High,Investigating,Bruteforce Attack incident detected.,bob
2024-01-17,Unauthorized Access,Low,Investigating,DDoS incident detected.,charlie
2023-03-31,Data Leak,Low,Resolved,Phishing incident detected.,charlie
2024-10-06,Phishing,Low,Closed,Malware incident detected.,security_team
2023-08-25,Unauthorized Access,Low,Investigating,Bruteforce Attack incident detected.,alice
2024-01-04,Ransomware,Critical,Investigating,Bruteforce Attack incident detected.,system
2023-07-31,Phishing,High,Investigating,SQL Injection incident detected.,alice
2023-11-30,Phishing,Medium,Open,Unauthorized Access incident detected.,alice
2024-01-27,Malware,Medium,Open,Ransomware incident detected.,charlie
2023-12-28,SQL Injection,Medium,Investigating,Unauthorized Access incident detected.,security_team
2024-07-21,Bruteforce Attack,High,Closed,Malware incident detected.,charlie
2024-06-04,Unauthorized Access,Critical,Investigating,Bruteforce Attack incident detected.,system
2023-05-30,Malware,High,Investigating,Ransomware incident detected.,bob
2024-08-12,DDoS,Medium,Investigating,Bruteforce Attack incident detected.,charlie
2023-06-17,Malware,Low,Closed,Ransomware incident detected.,alice
2024-11-11,Phishing,High,Investigating,Malware incident detected.,security_team
2023-10-03,Data Leak,Low,Investigating,DDoS incident detected.,bob
2023-01-18,Ransomware,High,Open,Ransomware incident detected.,charlie
2023-05-11,Ransomware,Medium,Resolved,Ransomware incident detected.,admin
2023-12-31,Data Leak,Critical,Closed,SQL Injection incident detected.,admin
2023-07-21,Ransomware,Critical,Closed,Bruteforce Attack incident detected.,charlie
2023-07-30,Bruteforce Attack,Low,Resolved,Malware incident detected.,security_team
2024-01-29,Phishing,High,Closed,Ransomware incident detected.,charlie
2023-06-03,Malware,Critical,Open,Unauthorized Access incident detected.,admin
2023-04-28,Data Leak,Medium,Closed,Unauthorized Access incident detected.,security_team
2023-02-04,SQL Injection,Medium,Resolved,Ransomware incident detected.,alice
2024-01-20,Malware,Medium,Open,Unauthorized Access incident detected.,system
2024-03-11,Unauthorized Access,Critical,Closed,Data Leak incident detected.,admin
2024-04-28,Unauthorized Access,High,Open,Malware incident detected.,alice
2023-03-07,Phishing,Low,Closed,Phishing incident detected.,charlie
2023-11-22,Malware,Low,Closed,Data Leak incident detected.,system
2023-04-25,Unauthorized Access,Critical,Open,Data Leak incident detected.,security_team
2023-06-30,Bruteforce Attack,Medium,Investigating,Ransomware incident detected.,security_team
2023-04-23,Unauthorized Access,Medium,Resolved,DDoS incident detected.,alice
2024-10-12,Data Leak,Medium,Resolved,Data Leak incident detected.,charlie
2024-05-20,Malware,Medium,Open,Malware incident detected.,admin
2023-08-16,SQL Injection,Low,Open,Data Leak incident detected.,security_team
2024-04-10,Bruteforce Attack,Critical,Open,DDoS incident detected.,bob
2023-02-07,Data Leak,Low,Resolved,DDoS incident detected.,system
2024-06-04,Phishing,High,Closed,Malware incident detected.,admin
2023-02-08,Unauthorized Access,Low,Open,Malware incident detected.,admin
2023-01-05,Bruteforce Attack,Low,Resolved,Data Leak incident detected.,alice
2024-04-25,Ransomware,Low,Open,DDoS incident detected.,security_team
2024-08-19,Ransomware,Low,Resolved,SQL Injection incident detected.,system
2024-08-31,Malware,Medium,Resolved,Data Leak incident detected.,security_team
2023-03-11,Phishing,Medium,Resolved,DDoS incident detected.,system
2024-03-03,Bruteforce Attack,Low,Resolved,Unauthorized Access incident detected.,admin
2024-01-22,Phishing,Low,Resolved,DDoS incident detected.,system
2024-04-27,Unauthorized Access,Medium,Investigating,Ransomware incident detected.,bob
2023-12-28,Malware,High,Resolved,Malware incident detected.,admin
2024-06-13,Bruteforce Attack,Low,Investigating,Bruteforce Attack incident detected.,charlie
2023-11-18,Malware,High,Open,Ransomware incident detected.,bob
2024-03-29,Data Leak,Critical,Resolved,Unauthorized Access incident detected.,bob
2024-04-26,Malware,Critical,Open,DDoS incident detected.,alice
2024-11-20,Data Leak,Medium,Resolved,Unauthorized Access incident detected.,admin
2024-10-14,Bruteforce Attack,Low,Resolved,SQL Injection incident detected.,alice
2023-08-29,Unauthorized Access,High,Closed,SQL Injection incident detected.,bob
2024-09-05,Phishing,High,Resolved,DDoS incident detected.,bob
2023-07-11,DDoS,Low,Resolved,Malware incident detected.,system
2024-05-07,DDoS,Medium,Open,Phishing incident detected.,system
2024-10-27,Ransomware,Medium,Open,Malware incident detected.,alice
2024-02-23,Bruteforce Attack,Critical,Closed,Phishing incident detected.,bob
2023-10-24,Malware,Medium,Open,Malware incident detected.,security_team
2023-07-09,Malware,Medium,Closed,Data Leak incident detected.,bob
2023-01-10,Ransomware,Medium,Open,Ransomware incident detected.,bob
2024-01-07,Bruteforce Attack,Critical,Investigating,Unauthorized Access incident detected.,system
2023-10-09,Unauthorized Access,Medium,Open,Ransomware incident detected.,charlie
2024-08-10,SQL Injection,Medium,Investigating,Malware incident detected.,admin
2024-03-31,Malware,Medium,Investigating,Ransomware incident detected.,bob
2024-01-01,Ransomware,High,Open,Bruteforce Attack incident detected.,bob
2024-09-07,Bruteforce Attack,Critical,Closed,SQL Injection incident detected.,admin
2024-05-13,Ransomware,Medium,Investigating,Ransomware incident detected.,security_team
2023-12-04,Ransomware,Critical,Resolved,Malware incident detected.,alice
2023-03-31,Malware,Low,Closed,Ransomware incident detected.,charlie
2024-03-01,SQL Injection,Medium,Open,DDoS incident detected.,bob
2023-03-16,SQL Injection,High,Closed,DDoS incident detected.,charlie
2024-07-07,DDoS,Medium,Investigating,Bruteforce Attack incident detected.,charlie
2024-05-30,SQL Injection,High,Open,DDoS incident detected.,charlie
2024-02-27,Ransomware,High,Resolved,Ransomware incident detected.,system
2023-01-23,Data Leak,High,Closed,Unauthorized Access incident detected.,system
2024-03-02,Malware,Medium,Closed,Phishing incident detected.,alice
2023-12-12,Unauthorized Access,High,Open,Malware incident detected.,alice
2024-06-26,Malware,Low,Investigating,Unauthorized Access incident detected.,security_team
2024-06-18,Bruteforce Attack,Low,Closed,Data Leak incident detected.,bob
2023-03-18,Phishing,Low,Closed,Phishing incident detected.,alice
2024-02-29,Unauthorized Access,Medium,Closed,Data Leak incident detected.,admin
2023-12-11,Bruteforce Attack,Medium,Open,SQL Injection incident detected.,admin
2023-11-12,Ransomware,Medium,Resolved,Unauthorized Access incident detected.,admin
2023-08-09,Ransomware,Critical,Closed,DDoS incident detected.,charlie
2024-10-10,Unauthorized Access,Critical,Closed,DDoS incident detected.,system
2024-06-12,Phishing,Critical,Closed,Malware incident detected.,charlie
2023-07-25,Bruteforce Attack,High,Investigating,Bruteforce Attack incident detected.,security_team
2024-10-09,Data Leak,Low,Investigating,DDoS incident detected.,charlie
2024-09-24,SQL Injection,Critical,Open,Unauthorized Access incident detected.,bob
2023-07-26,SQL Injection,Medium,Open,Malware incident detected.,bob
2023-02-07,Ransomware,High,Open,Bruteforce Attack incident detected.,system
2023-07-19,Unauthorized Access,Critical,Investigating,Unauthorized Access incident detected.,admin
2023-06-05,Ransomware,Medium,Resolved,Unauthorized Access incident detected.,charlie
2023-09-12,DDoS,Low,Open,Malware incident detected.,charlie
2024-08-30,SQL Injection,Critical,Investigating,Bruteforce Attack incident detected.,charlie
2024-11-16,Ransomware,Low,Resolved,Malware incident detected.,bob
2024-03-26,Ransomware,High,Closed,Ransomware incident detected.,alice
2023-09-17,Phishing,High,Resolved,Ransomware incident detected.,charlie
2023-04-06,DDoS,Critical,Investigating,Malware incident detected.,alice
2023-10-29,Data Leak,High,Open,Ransomware incident detected.,security_team
2024-01-13,Data Leak,Low,Investigating,SQL Injection incident detected.,charlie
2023-10-14,Phishing,High,Open,Unauthorized Access incident detected.,system
2024-08-30,Data Leak,Critical,Investigating,Data Leak incident detected.,security_team
2023-09-22,Phishing,Critical,Investigating,Phishing incident detected.,charlie
2024-02-02,Data Leak,Low,Closed,Bruteforce Attack incident detected.,bob
2023-01-27,Data Leak,Medium,Open,Data Leak incident detected.,alice
2024-07-31,Data Leak,Medium,Resolved,Malware incident detected.,bob
2023-08-01,SQL Injection,Medium,Investigating,Bruteforce Attack incident detected.,alice
2024-05-18,Bruteforce Attack,Low,Open,Data Leak incident detected.,admin
2024-03-05,Bruteforce Attack,Critical,Investigating,Malware incident detected.,admin
2023-01-15,SQL Injection,Critical,Open,Phishing incident detected.,admin
2024-01-24,Bruteforce Attack,High,Closed,SQL Injection incident detected.,admin
2024-06-20,DDoS,Critical,Resolved,DDoS incident detected.,alice
2024-01-13,Ransomware,Medium,Investigating,Bruteforce Attack incident detected.,bob
2024-10-18,Data Leak,Medium,Resolved,Ransomware incident detected.,system
2024-02-04,Ransomware,High,Investigating,Data Leak incident detected.,system
2024-08-11,Unauthorized Access,Medium,Investigating,Ransomware incident detected.,bob
2024-06-07,SQL Injection,Medium,Closed,DDoS incident detected.,charlie
2023-04-17,SQL Injection,Medium,Closed,Phishing incident detected.,security_team
2023-09-06,Malware,Low,Open,Unauthorized Access incident detected.,bob
2024-03-24,Phishing,Low,Investigating,SQL Injection incident detected.,security_team
2023-11-06,SQL Injection,Critical,Open,Ransomware incident detected.,charlie
2023-05-29,DDoS,Critical,Open,Ransomware incident detected.,bob
2024-06-25,DDoS,High,Investigating,Phishing incident detected.,admin
2024-02-26,SQL Injection,Medium,Resolved,Unauthorized Access incident detected.,security_team
2024-10-14,DDoS,Medium,Open,Phishing incident detected.,alice
2023-12-22,Data Leak,Medium,Investigating,SQL Injection incident detected.,charlie
2024-02-07,Data Leak,High,Open,SQL Injection incident detected.,charlie
2023-03-25,Phishing,High,Open,Bruteforce Attack incident detected.,charlie
2023-11-03,Unauthorized Access,Medium,Resolved,Malware incident detected.,security_team
2024-02-06,DDoS,High,Investigating,Phishing incident detected.,charlie
2024-10-22,Malware,Critical,Resolved,DDoS incident detected.,charlie
2023-02-08,DDoS,Medium,Resolved,Unauthorized Access incident detected.,admin
2023-05-08,DDoS,High,Resolved,Malware incident detected.,security_team
2024-05-23,Data Leak,Low,Closed,Ransomware incident detected.,security_team
2023-10-02,Unauthorized Access,Medium,Open,Unauthorized Access incident detected.,admin
2023-05-05,Malware,High,Investigating,Malware incident detected.,admin
2024-07-04,Unauthorized Access,Low,Closed,Ransomware incident detected.,security_team
